,Respondent,Why didn't get booster,why_not_booster_1,why_not_booster_2,why_not_booster_3,Why public health scientists reliable or unreliable,why_scientists_reliable_unreliable_1,why_scientists_reliable_unreliable_2,why_scientists_reliable_unreliable_3,Why CDC changed recommended isolation period,why_isolation_change_1,why_isolation_change_2,why_isolation_change_3
297,1723011903,__NA__,0.0,0.0,0.0,I see no reason for them to lie,1,0.0,0.0,People are becoming more immune to the virus,11,13.0,0.0
296,1723012395,__NA__,0.0,0.0,0.0,I feel like every couple of weeks they are coming out with new information which contradicts what they previously said about Covid,13,0.0,0.0,I feel they changed it because of employers complaining about too many of their employees being out for a long period of time or just being out because they are showing symptoms.,5,0.0,0.0
299,1723020107,"I have not felt the Covid pandemic is detrimntally going to affect my health in any way, especially not long term.",11.0,12.0,0.0,Public health scientists are communicating facts that they all replicate. It is not an individual but an army of scientists and doctors providing the information.,2,4.0,0.0,They must have changed it due to the risk of transmitting the disease declines after five days to a safe level.,1,0.0,0.0
303,1723027309,__NA__,0.0,0.0,0.0,I strongly agree with the CDC guidelines and that they are trying to help us,21,0.0,0.0,New studies and stuff,1,0.0,0.0
301,1723027701,__NA__,0.0,0.0,0.0,Statements that they have made have been proven to be true.,5,0.0,0.0,I suspect that they are bowing to political pressure rather than following common sense and science.,6,8.0,0.0
302,1723035297,Everyone that I do know that has gotten the booster had gotten very I'll.,15.0,0.0,0.0,It is normal to trust what the government and scientists have to say with what they find,3,0.0,0.0,I'm not sure,97,0.0,0.0
336,1723045591,__NA__,0.0,0.0,0.0,"I think the best thing about science is for most part it’s based on facts. Want to prove or disprove a theory. Sadly in todays world people, SCIENTISTS included, are driven be money or status and I sometimes worry reports could be bias depending on who’s running government, or other outside influences. I only started to be skeptical since Trump was president. Sad.",4,20.0,0.0,We have gained more of understanding of the virus,1,0.0,0.0
314,1723114755,__NA__,0.0,0.0,0.0,I think they say what they think but I am not positive of that.,1,0.0,0.0,I don't know.,97,0.0,0.0
312,1723115147,__NA__,0.0,0.0,0.0,Fauci lies all the time been proven in the news,10,98.0,18.0,politics,8,6.0,0.0
322,1723129929,__NA__,0.0,0.0,0.0,"Dr. Fauci has lied about the vaccines and masks I don't trust in anything he says, especially when he said in 2021 that in 6 weeks the virus would be less",16,10.0,0.0,I don't know why CDC changed the recommended isolation period all I can say because of natural immunity,97,0.0,0.0
305,1723173981,__NA__,0.0,0.0,0.0,"The public health scientists have studied the virus, know how it is pread and how it is pevented This has helped us to reduce hospitalisation in the last year.",2,5.0,0.0,I believe this is because of the effectiveness of the Covid 19 vaccine. Less people are being hospitalised even with contacting the virus so there is no need for more quarantining days anymore.,10,0.0,0.0
306,1723223229,__NA__,0.0,0.0,0.0,it is always changing,13,0.0,0.0,the evolution of the issue,98,0.0,0.0
307,1723224279,__NA__,0.0,0.0,0.0,Because they study for it,2,0.0,0.0,So people get a good start,98,0.0,0.0
309,1723231643,"I plan to travel to Europe later in the year. If I get the booster now, by the time I go, the EU might say I need a second booster. I'm healthy and feel the reduced protection from previous vaccinations outweighs the risks of taking 2 more boosters. I also may have had mild covid already, and a recent study shows that provides at least 18 months of immunity.",1.0,9.0,0.0,"Fauci admitted to changing targets for herd immunity in order to manipulate public behavior. That is the job of political leaders, not scientists. I've also heard such people advocate for prioritizing treatment by skin color which is both unethical and illegal. The CDC rescinded approval of MCAB claiming they don't work on omicron. That ignores the fact that ~300,000 people have non-omicron variants today. They are denying treatment for no good reason. I have written to the CDC biologics department about this. Their response is complete BS.",19,0.0,0.0,They admitted they didn't think people would keep complying with the 10 day requirement,9,0.0,0.0
308,1723238733,__NA__,0.0,0.0,0.0,0,99,0.0,0.0,Not sure,97,0.0,0.0
310,1723238989,Because I work in a pharmacy and I would like to get it at my job but they have been so busy I haven’t wanted to add to their work load. I need to make an appointment somewhere else.,99.0,0.0,0.0,They get paid a lot of money to do it. They are very smart and the best at what they do. They obviously know more than I do.,2,0.0,0.0,"So that more people would comply, also because you are not contagious after five days. People have lives to live, and children and jobs to attend to.",9,5.0,0.0
311,1723239419,__NA__,0.0,0.0,0.0,Scientists have the knowledge to do the research,2,0.0,0.0,They have no idea and the virus keeps changing,4,2.0,0.0
313,1723247161,__NA__,0.0,0.0,0.0,I trust the cdc,3,0.0,0.0,Information changes as does science,1,0.0,0.0
315,1723269507,__NA__,0.0,0.0,0.0,Things are always changing. There are things they just do not know.,1,4.0,0.0,Public and business pressure,8,5.0,0.0
317,1723279369,__NA__,0.0,0.0,0.0,The government has a way to not tell the public any truth that is potentially destructive or harmful in any manner.,10,0.0,0.0,"I really don't know , but I wouldn't recommend it.",97,0.0,0.0
318,1723280681,__NA__,0.0,0.0,0.0,That bis their jib as a professional to give honesty and logical information,1,0.0,0.0,10 days is too much time for most people have to work and live,9,0.0,0.0
320,1723280987,The original shots didn't do the full job. Now we do the same thing and expect different results!?!,6.0,0.0,0.0,"Politics, for one. Control. Ignorance of the effects of covid, and what to do about it.",20,11.0,19.0,Politics mostly,6,0.0,0.0
380,1723283863,__NA__,0.0,0.0,0.0,They've been confidently incorrect about so much.,16,0.0,0.0,To help boost Biden's poll numbers.,6,3.0,14.0
323,1723286573,__NA__,0.0,0.0,0.0,Yes I can. This is an ever-changing virus and you can only count on what data is available at the time. I believe public health scientists give you the most reliable information based on the data they have at any given time.,4,1.0,0.0,They have been able to gather more data to better assess the situation at that specific time.,1,0.0,0.0
319,1723287059,__NA__,0.0,0.0,0.0,I’m a public health scientist and I am following the research through trusted sources such as the CDC website that is reporting trends.,4,2.0,0.0,Following the science allows us to better understand how a health threat is acting and thereby alter practices.,1,0.0,0.0
321,1723291563,__NA__,0.0,0.0,0.0,I trust scientists more than media.,9,0.0,0.0,Because their idiots.,4,0.0,0.0
408,1723296689,__NA__,0.0,0.0,0.0,Some are politically motivated.,20,0.0,0.0,t was more efficiant,5,0.0,0.0
324,1723301197,Didn't want to get another shot,98.0,0.0,0.0,I would think it be be trustworthy coming from my Dr.,99,0.0,0.0,Because 10 is too long,9,0.0,0.0
325,1723301727,__NA__,0.0,0.0,0.0,they are educated and offer advice based on facts,2,1.0,0.0,based on data,1,0.0,0.0
326,1723301859,__NA__,0.0,0.0,0.0,"I am very disappointed in our public health officials as they have often given conflicting advice, precautions and ""facts"".",13,0.0,0.0,It's all so arbitrary and not based on science. Tell be why it's 5 days and not ten or twenty? Do masks work? The various mask rules are crazy! The plastic barriers erected are foolish.,4,0.0,0.0
327,1723301865,I a just waiting for the weather to improve since I do not drive and will have to take a short walk to get there,98.0,0.0,0.0,THEY are saying as much they can but nobody knows everything,21,0.0,0.0,it most likely figured that a shorter time was just as effective,9,1.0,0.0
328,1723308077,__NA__,0.0,0.0,0.0,i think they try to tell people the truth,1,0.0,0.0,i think if you have to isolate for 5 days you should know yourself if the systems are getting better or not .,98,0.0,0.0
445,1723326393,__NA__,0.0,0.0,0.0,Because they are knowledgeable about what is going on,2,0.0,0.0,To cater to complainers.,8,0.0,0.0
329,1723326987,__NA__,0.0,0.0,0.0,"There are a lot of unknown variables, there's no source out there that knows everything, it changes too much",98,0.0,0.0,Because they got tired of people missing so much school/work,5,0.0,0.0
332,1723328895,The time is not up to get the booster.,21.0,0.0,0.0,They make money off the pharmaceuticals that they prescribe to their patients so i think that influences their opinions.,20,0.0,0.0,14 days,99,0.0,0.0
331,1723329097,__NA__,0.0,0.0,0.0,They don’t make any sense & there are to many inconsistencies with their information. So I consider it to be extremely unreliable.,13,14.0,0.0,"Because they’re realizing that the truth is coming out, & Covid isn’t as bad as they’re making it out to be. Also, they’re scare tactics are no longer working on anyone with a brain.",14,3.0,11.0
330,1723329705,__NA__,0.0,0.0,0.0,I don't trust the government or anybody that works for them,10,0.0,0.0,I don't know I'm not the government,97,0.0,0.0
333,1723338977,I tried to get one around Christmas but it was hard to find a time slot that worked for my schedule. I’ve been extra busy since the beginning of the year and haven’t been able to look again,7.0,8.0,0.0,I think it’s reliable but we are constantly learning new things that information seems to change quickly through no fault of theirs.,4,0.0,0.0,Because they felt it was enough time for people to remain safe but also not keep people isolated for longer than they could take.,9,0.0,0.0
334,1723339165,I was ill with Covid 19 at the new year. I was advised that I have to wait 90 days.,21.0,0.0,0.0,There is a lot of contradictory reports,13,0.0,0.0,To try to keep normalcy in people's lives. To keep businesses open and running.,5,0.0,0.0
335,1723344201,__NA__,0.0,0.0,0.0,Politics,98,0.0,0.0,Overdone,99,0.0,0.0
337,1723346761,__NA__,0.0,0.0,0.0,I meant to say it's very reliable. This info coming from them is backed with facts!,3,4.0,0.0,"I'm not sure why they changed it to a shorter time, but I strongly disagree. The isolation should be too long instead of not long enough. Better safe than sorry!",97,0.0,0.0
339,1723348349,__NA__,0.0,0.0,0.0,because they keep changing what they say,13,0.0,0.0,because Covid 19 is getting less contagious,11,0.0,0.0
341,1723355195,__NA__,0.0,0.0,0.0,Cannot figure whether they are right or wrong always changing advice,13,14.0,0.0,I do not know. Maybe too many people complaining,8,97.0,0.0
340,1723356321,__NA__,0.0,0.0,0.0,They hide the truth from the people always had and always will.,10,0.0,0.0,I have no idea and I do not agree with it,97,0.0,0.0
342,1723356325,__NA__,0.0,0.0,0.0,I don't trust anyone or anything fully,98,0.0,0.0,Not sure,97,0.0,0.0
343,1723358119,__NA__,0.0,0.0,0.0,I believe they have done their research,2,0.0,0.0,too much disruption to the nation,5,8.0,0.0
344,1723366483,__NA__,0.0,0.0,0.0,Biased and politically motivated,10,0.0,0.0,They don’t know what they’re doing,4,0.0,0.0
346,1723384967,__NA__,0.0,0.0,0.0,The facts are always changing,98,0.0,0.0,Yes a little longer,99,0.0,0.0
347,1723400867,Transportation,98.0,0.0,0.0,I trust Dr fauci,98,0.0,0.0,I don't know,97,0.0,0.0
348,1723412163,__NA__,0.0,0.0,0.0,They are professionals for a reason,2,0.0,0.0,People are not willing to wait a longer time,9,0.0,0.0
349,1723418563,Haven’t yet,99.0,0.0,0.0,Idk,99,0.0,0.0,Idk,97,0.0,0.0
353,1723418811,__NA__,0.0,0.0,0.0,I received my booster shot and I still got infected by COVID-19.,16,98.0,0.0,They think more people are getting vaccinated.,10,0.0,0.0
350,1723419275,__NA__,0.0,0.0,0.0,too many conflicting opinions,13,0.0,0.0,not sure,97,0.0,0.0
352,1723419641,__NA__,0.0,0.0,0.0,They have access to information that I do not have.,2,0.0,0.0,Public pressure,8,0.0,0.0
351,1723419711,__NA__,0.0,0.0,0.0,I want to see the side effect before I judge anything,98,0.0,0.0,Because the new variant isn’t as serious as the original,2,0.0,0.0
356,1723429097,__NA__,0.0,0.0,0.0,They are the experts in there and we need trust them more.,2,0.0,0.0,I believe they were pressured by politicians to reduce the time due to lack of workers in the work force.,6,5.0,0.0
355,1723429099,__NA__,0.0,0.0,0.0,Because the virus was so new I feel that no one really knows,11,0.0,0.0,So people don’t miss so much work and they may also not be contagious after 5 days,5,0.0,0.0
364,1723434031,__NA__,0.0,0.0,0.0,The CDC lies. It does things like cut the isolation time in half during a spike because the Airline CEOs tell them to.,10,20.0,0.0,$$$$,5,0.0,0.0
361,1723436897,__NA__,0.0,0.0,0.0,Biased,10,0.0,0.0,No nurses to work,98,0.0,0.0
358,1723437023,because i didnt even want to get the vaccine but government decided if i didnt get that i could lose my job so i didnt really have a choice if i wanted to remain employed.,19.0,0.0,0.0,not really sure which ones can be rusted and which ones cant at this point. theres also alot of back and forth with the info provided,13,14.0,0.0,because people were complaining about the 10 days most likely,8,9.0,0.0
359,1723437569,__NA__,0.0,0.0,0.0,Yes they are professional doctors that know a hell of a lot more than just everyday people,2,0.0,0.0,I figured they found out something we don't know.,1,0.0,0.0
362,1723438577,Got covid. Had to wait,21.0,0.0,0.0,I trust the experts,2,0.0,0.0,I don't know,97,0.0,0.0
360,1723438637,__NA__,0.0,0.0,0.0,Not sure,99,0.0,0.0,Not sure,97,0.0,0.0
363,1723446389,__NA__,0.0,0.0,0.0,They are always changing their minds,13,0.0,0.0,Their must be science that says it’s not contagious after five days,1,0.0,0.0
366,1723463755,I was scheduled to get the booster but then got Covid. I am planning on getting the booster soon.,21.0,0.0,0.0,The situation is constantly changing so I don't think the messaging can keep up,98,0.0,0.0,To keep the economy going,5,0.0,0.0
367,1723470949,__NA__,0.0,0.0,0.0,who else can you trust,3,9.0,0.0,more evidence suggests less isolation,1,0.0,0.0
369,1723484035,__NA__,0.0,0.0,0.0,"Spanish flu was 100 years ago and took less than 2 years to get under wraps there has to be a financial benifit to all party’s involved in covid testing, informing, research, vaccination production, testing,ext.",20,0.0,0.0,They have contradicted themselves sense the beginning on a majority of there facts but I think the shortened isolation is due to there being less people able to apply for unemployment,5,0.0,0.0
368,1723486057,__NA__,0.0,0.0,0.0,Depending on who the public health scientist is what they say could be influenced politics or money,12,0.0,0.0,Because people are needed at their jobs,5,0.0,0.0
370,1723487183,__NA__,0.0,0.0,0.0,They are the professional l trust rhem,2,0.0,0.0,Over time they are leaning much re and eduae,1,0.0,0.0
392,1723492375,You have to wait 5 months,21.0,0.0,0.0,"Figures don’t lie, but liars do figure.",10,0.0,0.0,Under pressure from the White House to keep people working.,6,5.0,0.0
371,1723494373,__NA__,0.0,0.0,0.0,Too many inconsistencies and constantly changing information.,13,0.0,0.0,"Scientific data validates this decision, although it has been so for some time. I believe it is also unfortunately politically motivated.",1,6.0,0.0
372,1723509783,__NA__,0.0,0.0,0.0,Never produce facts or data. Or manipulated numbers or skewed. Always switching and never open to or participate in debates,13,10.0,0.0,Pressure from elites,6,0.0,0.0
373,1723510375,Haven't had the time,7.0,0.0,0.0,Information is constantly changing,13,0.0,0.0,Changing information about the virus and how it spreads,1,0.0,0.0
374,1723525225,__NA__,0.0,0.0,0.0,Money,98,0.0,0.0,Too much job loss,5,0.0,0.0
375,1723525485,__NA__,0.0,0.0,0.0,just not sure what to believe anymore,98,0.0,0.0,I think it's all a control thing,3,0.0,0.0
376,1723530429,__NA__,0.0,0.0,0.0,Because they have no bias or reasons to alter the truth.,1,0.0,0.0,The pressure from the republicans and other parties,6,8.0,0.0
378,1723538795,__NA__,0.0,0.0,0.0,Thats what they do for a living,2,0.0,0.0,Because to many people were complaining,8,0.0,0.0
377,1723540025,I have not gotten a booster yet because I feel my family is not in many high risk situations and the booster doesn’t seem necessary at this time,20.0,11.0,0.0,I do not trust the media. Words and statements are always being strategically planned in an article to insight obsession and fear,9,0.0,0.0,Because too many people would be home and not at work. The cdc and most other large governmental agencies do not care for the average American. They’re focus is on continuity of productivity.,5,0.0,0.0
379,1723557375,Wasn't any available appointments,8.0,0.0,0.0,They are professionals,2,0.0,0.0,I don't know,97,0.0,0.0
381,1723576461,__NA__,0.0,0.0,0.0,I don’t know much about them,98,0.0,0.0,I don’t know,97,0.0,0.0
382,1723651677,__NA__,0.0,0.0,0.0,I trust scientists because they are credible and who am I to tell them they are wrong?,3,0.0,0.0,We learned you’re no longer contagious after a certain point,1,0.0,0.0
388,1723656575,I really don't have any comments about it thank you very much,99.0,0.0,0.0,I really don't have any comments about it thank you,99,0.0,0.0,I really don't have any comments about it thank you very much,99,0.0,0.0
383,1723697357,__NA__,0.0,0.0,0.0,Because they’re still backed by politicians which I think you can’t ultimately trust.,20,0.0,0.0,No idea,97,0.0,0.0
384,1723730463,My pharmacy has been backed up and I've rescheduled twice. I'm scheduled for next week.,8.0,21.0,0.0,I believe in science. I look to many sources to gather information and reliable scientists agree independent of each other on certain facts.,4,0.0,0.0,I think the cdc caved to public pressure.,8,0.0,0.0
385,1723737853,__NA__,0.0,0.0,0.0,They know the science and understand the research and results and are not biased.,4,0.0,0.0,The infection period is not as long as initially thought,1,0.0,0.0
387,1723747907,"I did not see the option in the survey for booster, but I do have my booster I got it a month ago. Actually my whole family all 4 of us are boostered as well.",99.0,0.0,0.0,I have read the science behind what the scientists are saying and agree with their findings,4,5.0,0.0,people who are vaccinate are not spreading the virus as easily as people who are unvaccincated so i agree with the shortened time period,10,0.0,0.0
389,1723772053,__NA__,0.0,0.0,0.0,"I think public health scientists have a strong background to learn about, understand, and subsequently educate about health issues.",2,0.0,0.0,I think pressure from industry to get workers back to their jobs.,5,8.0,0.0
403,1723772677,"I had pretty strong reactions to the first two doses, and want to schedule the booster when I am able to rest and do not have to work or clean my home.",2.0,7.0,0.0,"In general, I trust their experience and education",2,0.0,0.0,I think because both vaccinated and unvaccinated are getting the virus,98,0.0,0.0
391,1723790929,Because I don’t believe the vaccine works. My employment is not making it mandatory for booster so I won’t get it. I wouldn’t even have gotten the first two if it was mandatory for my job.,6.0,0.0,0.0,Because they keep changing what they say.,13,0.0,0.0,Because healthcare workers were becoming scarce.,98,0.0,0.0
393,1723795755,I am not eligible to get it until June.,21.0,0.0,0.0,"They have been studying science and can determine what it is that we are dealing with. However, there are still too many unknowns with Covid as well as different variants.",2,0.0,0.0,To stop people from getting unemployment and to boost the economy.,5,0.0,0.0
394,1723817481,__NA__,0.0,0.0,0.0,Because I don’t know,99,0.0,0.0,Because the contagious period is shorter than thought before,1,0.0,0.0
395,1723818659,I had to travel out of the country over the last few months and therefore I haven't had a chance to get the booster.,7.0,0.0,0.0,I feel the pandemic has been highly politicized and therefore at times we don't get reliable information.,10,0.0,0.0,Because people get desperate after such a long time of isolation.,9,0.0,0.0
396,1723828669,Not ready,21.0,0.0,0.0,I trust them,3,0.0,0.0,Because less people are coming down with it,13,0.0,0.0
397,1723830269,Because I don't believe that vaccine is effective at all there's no point in injecting my body with poison and unknown poison for no reason plus it has messed up menstrual cycle,6.0,13.0,2.0,Because they can't make up their minds . Seems like when they realize the people catch on to the lies they come up with other garbage to spew. Change their minds frequently,13,10.0,0.0,Because of money. And most people believed their garbage the first time,5,0.0,0.0
398,1723831267,__NA__,0.0,0.0,0.0,over rated,98,0.0,0.0,i,99,0.0,0.0
399,1723832737,__NA__,0.0,0.0,0.0,There are too many discrepancies,13,0.0,0.0,Don't know,97,0.0,0.0
400,1723843519,I haven't got around to it yet.,7.0,0.0,0.0,Because they are trusted.,3,0.0,0.0,To keep people from being infected.,98,0.0,0.0
402,1723843739,__NA__,0.0,0.0,0.0,Information is constantly changing since the virus is still new to everyone,11,0.0,0.0,New information,1,0.0,0.0
401,1723843943,I'm not due for one yet,21.0,0.0,0.0,No,99,0.0,0.0,While the Omicron is more contagious than the original covid it's generally not as serious,2,0.0,0.0
413,1723853881,haven't been able to get a appointment,8.0,0.0,0.0,not sure if the info is truly true,98,0.0,0.0,recent data,1,0.0,0.0
404,1723867549,__NA__,0.0,0.0,0.0,"They constantly contradict one another. Not only with multiple voices but an individual will change their stance in a matter of days. It feels like they are all just arguing with their own opinions rather than fact and someone is ""behind the curtain"" so to speak; changing opinions when the time suits them best",13,10.0,0.0,"Because people are beginning to wake up and grow tired of a hidden tyrannical dictatorship that roots deeper than anyone ever could have imagined our society strains every generation more and more. And our people have done a good job of obeying and staying ignorant thus far. But little by little, there are those who start to understand how everything really works. Our government was also modeled after the Roman empire hence the large marble structures and pillars of the US capital. What did the roman emperor do to keep peoplr entertained and ignorant? He sent slaves into stadiums with lions to be ripped apart for everyone's amusement. Much likr how we have fools pouring thwir life savings into sports to watch thwir favprite team win or lose and either way absolutely trash the room their in bevuase that's how much preassure is put on these poor young athletes that are almose forced into a multi millions dolllar contract deal because who would pass that up? Much like the Roman empire, our society will crumble and fall to its knees in agony regardless of how we try to mend the political divide at this point. In my opinion, the unites States of america is on the brink total collapse as we know it.",3,14.0,0.0
405,1723875055,__NA__,0.0,0.0,0.0,"I mostly agree with it, but i feel that right now, the data they give is wrong, COVID is running ramped right now, and they are not tracking all positives since the at home tests are out now",11,0.0,0.0,More data came out about for how many days you are contagious for.,1,0.0,0.0
406,1723886593,__NA__,0.0,0.0,0.0,they are the people we have to rely on during a pandemic.,98,0.0,0.0,so people will feel better about treatments.,98,0.0,0.0
407,1723916399,__NA__,0.0,0.0,0.0,The media is not being given the honest truth/stats. Officials are inconsistent with their prognosis and have a political agenda.,10,20.0,0.0,People are fed up with inconsistent changing instructions. We need to promote hard truths both positive and negative.,98,0.0,0.0
410,1723939393,__NA__,0.0,0.0,0.0,0,99,0.0,0.0,Don’t know,97,0.0,0.0
412,1723956993,__NA__,0.0,0.0,0.0,they have the education and experience in this area,2,0.0,0.0,they have additional data to base this decision on,1,0.0,0.0
414,1723969589,Not soon enough,21.0,0.0,0.0,Not enough info,98,0.0,0.0,Not enough information,98,0.0,0.0
415,1724005771,__NA__,0.0,0.0,0.0,I trust experts who have more experience and education in the issue than I do.,2,0.0,0.0,Pressure from Airline CEOs. Capitalism is built upon a scaffold of bones. America worships Moloch. The rich will sacrifice all life on Earth in their pursuit of wealth.,5,15.0,0.0
416,1724018501,I haven't been able to schedule an appointment.,8.0,0.0,0.0,"I am not an expert in any field of medicine, so I would rather take a public health scientists word if they are reasonable.",2,0.0,0.0,To somewhat help the economy from collapsing.,5,0.0,0.0
417,1724019977,__NA__,0.0,0.0,0.0,They study the information somewhat regularly,2,0.0,0.0,Want to make money and have people out and about regularly,5,0.0,0.0
418,1724031039,I don't think i need it.,20.0,0.0,0.0,I trust these individuals who are qualified and reliable to gather accurate information and give a good analysis.,2,0.0,0.0,Some of the symptoms are not that bad.,11,0.0,0.0
422,1724034047,__NA__,0.0,0.0,0.0,"I have faith in the scientific community overall, and specifically those dealing with disease, rather than drug manufacturers",4,3.0,0.0,Nobody was going to work,5,0.0,0.0
429,1724048227,__NA__,0.0,0.0,0.0,I don’t think enough time has gone by to find out the extent of the side effects,11,0.0,0.0,Maybe they determined that by then you are not contagious,1,0.0,0.0
419,1724054397,__NA__,0.0,0.0,0.0,They went to college,2,0.0,0.0,People were made and the economy was tanking,5,8.0,0.0
426,1724058183,__NA__,0.0,0.0,0.0,"Sure its reliable. They're scientists. And who else is out there spouting information about covid? Joe Rogan, who is an idiot.",3,9.0,0.0,"They need to get people back to work and into life. The fact is that beyond five days after cessation of major symptoms, a person isnt contagious enough to be a threat. That said I felt absolutely horrible for a couple of weeks after cessation of ""major"" symptoms.",5,0.0,0.0
420,1724062161,"because i haven’t yet, but i will",98.0,0.0,0.0,they seem to know what they’re talking about,2,0.0,0.0,no clue,97,0.0,0.0
421,1724064011,__NA__,0.0,0.0,0.0,It’s a new virus and it takes years and years to fully understand it. Plus nobody knows anything 100%,11,0.0,0.0,Because nobody knows that they’re doing,4,0.0,0.0
424,1724074277,__NA__,0.0,0.0,0.0,FAUCI,98,0.0,0.0,THEY KNOW IT'S ALL BULLSHIT,15,14.0,12.0
423,1724083323,__NA__,0.0,0.0,0.0,Because they never have straight answers and they change over time,13,14.0,0.0,because covid has become less serious and they want people to work,5,10.0,0.0
439,1724098021,__NA__,0.0,0.0,0.0,i believe that they are doing the best that they can,21,1.0,0.0,learning by studying the virrus,1,0.0,0.0
425,1724101245,__NA__,0.0,0.0,0.0,"we do not have the cognitive capacity, motivation, or time to evaluate all the information that we encounter online. However, motivation is increased when we are to research a topic regarding our own health condition or symptoms. Even under these circumstances, the assessment of source reputability and the veracity of information is an extremely difficult task.",2,0.0,0.0,"The change is motivated by science demonstrating that the majority of SARS-CoV-2 transmission occurs early in the course of illness, generally in the 1-2 days prior to onset of symptoms and the 2-3 Days after",1,0.0,0.0
427,1724131515,__NA__,0.0,0.0,0.0,The Government puts a spin on everything,98,0.0,0.0,To placate people,8,0.0,0.0
449,1724184993,__NA__,0.0,0.0,0.0,They are too political to provide an unbiased opinion.,10,0.0,0.0,Political pressure.,8,6.0,0.0
428,1724219727,__NA__,0.0,0.0,0.0,He's my Dr. so I listen to/believe him.,3,0.0,0.0,"To let people, get back to doing things/work.",5,0.0,0.0
454,1724237239,J&J has been pulled. Cannot mix the doses.,98.0,0.0,0.0,Because Fauci lies every time he opens his mouth,10,0.0,0.0,Politically motivated. People wouldn't put up with 2 weeks anymore,8,9.0,0.0
442,1724267949,__NA__,0.0,0.0,0.0,Scientists underscore rare possibilities of adverse events that create even more confusion,14,0.0,0.0,Public pressure,8,0.0,0.0
448,1724300473,__NA__,0.0,0.0,0.0,too much misinformation and many opinions.,10,13.0,0.0,pressure to reduce time.,8,0.0,0.0
432,1724342627,__NA__,0.0,0.0,0.0,"Scientists have studied viruses for a long time, and know more than anyone.",2,0.0,0.0,They now know more about covid .,1,0.0,0.0
430,1724349029,__NA__,0.0,0.0,0.0,I dont trust anyone,98,0.0,0.0,No idea bit it is stupid. I had corona and was sick with it for over 2 weeks. 5 days is not long enough at all,97,0.0,0.0
431,1724359867,__NA__,0.0,0.0,0.0,I don’t believe it’s that bad,98,0.0,0.0,Don’t know They make up stuff and change their mind,97,4.0,0.0
436,1724360709,__NA__,0.0,0.0,0.0,I don’t read a lot from public health scientists,99,0.0,0.0,A better understanding of the virus,1,0.0,0.0
433,1724361219,__NA__,0.0,0.0,0.0,They are experts trying to protect the public.,2,21.0,0.0,"I am not sure, but they must have determined that the virus was weak enough at that point.",13,0.0,0.0
435,1724365045,__NA__,0.0,0.0,0.0,"It just seems to get more confusing every day. There's new guidelines and rules, and sometimes they contradict each other",14,13.0,0.0,"The more time goes on, We're learning more about the virus",1,0.0,0.0
434,1724367821,None,99.0,0.0,0.0,None,99,0.0,0.0,None,99,0.0,0.0
437,1724373441,__NA__,0.0,0.0,0.0,I tend to believe science to opinions of people who I don’t trust much,4,0.0,0.0,I’m not sure,97,0.0,0.0
443,1724383841,__NA__,0.0,0.0,0.0,They're scientists. Their focus is public health. They WANT the public to be healthy. They have no ulterior motives. Nothing to gain from lying.,21,0.0,0.0,Because people weren't following the 10 days. And something is better than nothing,9,0.0,0.0
438,1724391517,__NA__,0.0,0.0,0.0,They are scientists for a reason so they must have some high level of education and are qualified,2,0.0,0.0,Still so many unknowns about covid19,98,0.0,0.0
440,1724401625,I just feel confused on everything going on and I just got a bunch of shot flu shot hep B and I’m just tired of trying to keep up with anything COVID related,9.0,0.0,0.0,Lies tend to spread faster than the truth,10,0.0,0.0,They are trying to push people back to work in anyways possible,5,0.0,0.0
441,1724401691,__NA__,0.0,0.0,0.0,I believe in science. If science is their profession then I trust they are testing and experimenting to provide the public with accurate results.,4,2.0,3.0,The economy needs people working and going to school.,5,0.0,0.0
444,1724406749,__NA__,0.0,0.0,0.0,"I think most of the time they lie and give us miss information, Dr. Farchi is a liar",10,0.0,0.0,"because they don't know what their doing , they make things up as they go along",4,0.0,0.0
447,1724429801,__NA__,0.0,0.0,0.0,"They are reliable, I did not mean unreliable",3,0.0,0.0,Agree to their decision,99,0.0,0.0
446,1724439039,__NA__,0.0,0.0,0.0,"there has been a large push in censorship, especially regarding covid-19. If something was to come out about covid or the vaccines that didn't follow a specific agenda it ould be swept under the rug",98,0.0,0.0,people are not as scared of covid as they were in 2020,8,0.0,0.0
450,1724503151,__NA__,0.0,0.0,0.0,They are the scientists.,4,0.0,0.0,Research and political pressure.,1,8.0,6.0
451,1724511071,May weaken my immune system,13.0,0.0,0.0,Not sure if we are being told the truth,98,0.0,0.0,The coronavirus transmission is early on during the illness,1,0.0,0.0
452,1724522945,__NA__,0.0,0.0,0.0,I trust science,4,0.0,0.0,Bc you’re more likely to spread Covid in the first few days of getting it.,1,0.0,0.0
455,1724530147,__NA__,0.0,0.0,0.0,I don't trust what I hear from media sources.,98,0.0,0.0,Because COVID isn't as severe as it is stated to be,11,0.0,0.0
453,1724533789,__NA__,0.0,0.0,0.0,Because they have all the information,2,0.0,0.0,Not sure,97,0.0,0.0
463,1724559537,__NA__,0.0,0.0,0.0,"Many have served under numerous presidents regardless of party, are experienced, and want people to stay alive so we can work.",1,2.0,21.0,Industry pressure to get people back to work.,5,0.0,0.0
459,1724570771,__NA__,0.0,0.0,0.0,0,99,0.0,0.0,Because they are carriers and can give it to other people.,98,0.0,0.0
