Respondent,Why didn't get booster,why_not_booster_1,why_not_booster_2,why_not_booster_3,Why public health scientists reliable or unreliable,why_scientists_reliable_unreliable_1,why_scientists_reliable_unreliable_2,why_scientists_reliable_unreliable_3,Why CDC changed recommended isolation period,why_isolation_change_1,why_isolation_change_2,why_isolation_change_3
1727126457,I had Covid in December of 2020. I feel my natural immunity is better and safer than a new vaccine roll out.,10,,,"I feel that the media has played a giant role in fear mongering. This is an ever evolving virus. The CDC changes protocol far to often to be taken seriously. The narrative for heard immunity and vaccines has been changed to fit the fear mongering to get more ""shots in arms."" This is not a vaccine it is a shot. Covid is never going to go away. It is the common cold that was mutated in a lab and here we are. The media that sources the scientist have cause this, big pharma has caused this. Follow the money not the science.",13,10,20,"Because corporate America can no longer keep running business on skeleton crews. Everyone is over worked, under paid, and no longer get compensated when they are out from being covid positive. Nurses and teachers are allowed to work if they are positive if they have been vaccinated. How does this make sense? It doesn't at all.",05,,
1727146639,__NA__,,,,"They flip flop to much, they change the so called science by the hr it seems",13,,,Peer pressure,08,,
1726986543,__NA__,,,,"Some public health scientists on social media have been downplaying the pandemic and variants since the beginning, resulting in huge surges and the evolution of new variants in the wake of those surges.",10,,,The economy was struggling and we are dangerously low on nurses,05,,
1727174393,Had two shots and still got Covid… feel booster is useless,05,,,Because they do not criticize individual cities and towns whose vaccination rate is low. Do not report on Covid treatment options. Do not report on mask studies that show how ineffective mask are,11,,,Because after two years we have all been exposed to Covid and have learned the exposure period is small,13,,
1727126465,Don’t need it.,98,,,Some professionals say one thing and other say another.,14,,,I don’t think anyone should be isolated at all.,99,,
1727127087,__NA__,,,,I trust almost everything.,98,,,Because they consider the economy more important than human lives.,05,,
1727079015,__NA__,,,,"Public health scientists have years of education that I don't. I'm many things, but an epidemiologist is not one of them.",02,,,"There seems to be increasing pressure to keep kids in school and reopen businesses, despite indications to the contrary.",05,,
1727136783,__NA__,,,,Trust,03,,,To get people to actually comply. Ten was too long so people didn't comply,09,,
1727135959,I had COVID in January 2022. So no booster now that I have natural antibodies,10,,,They follow public and political influences more than the scientific data,10,20,,Pressure from corporate and political leaders,06,05,
1727093835,__NA__,,,,It is based on years of research,02,,,Better data about the incubation period,01,,
1727014897,"I only got the shot under extreme duress. I do not believe anyone should be FORCED to vaccinate. Additionally, I’ve already had Covid and natural immunity is now proven to be much more effective than any of the current so-called vaccines. Everyone is different and so I do not think that people should not vaccinate, but I STRONGLY feel that no one should be FORCED to do so. I will not participate in any more of this highly politicized madness.",10,19,,"Facts matter. And when facts, such as polling data, are skewed then it can create a serious discrepancy between reality and truth. As an example, I saw a report - citing a poll - that said hospitals cases of covid were almost universally UNVACCINATED people. Most people only read the headlines but if they dig deeper and read the actual source information they would find that VACCINATED people who might have even received a booster or two, but NOT their most recent booster, were being counted as UNVACCINATED for the purposes of the study. I could cite a lot more, but that is just one example of how public health officials and the media at large disrupt their relationship with the truth.",10,,,"Because they either know more now, or because the millions of people rebelling against them and the Biden Administration are clearly going to have an impact in the midterm elections.",01,08,
1727590815,__NA__,,,,i trust public health scientists,03,,,the science supports 5 days,01,,
1727591453,__NA__,,,,That was incorrect,99,,,"Decreased transmission, financial and the economy",01,05,
1727600045,__NA__,,,,I think they are good people who understand medicine and work hard to give the best possible advice and information. But they are subject to the whims of the oligarchy who control the US economy and the organizations those scientists work for. They've been influenced by those interested throughout the pandemic to make choices for the health of the economy over the health of the people.,02,20,,Because they are being pressured not to issue guidance that will disrupt economic activity.,05,,
1727590317,Freedom,19,,,Fauci,99,,,They get paid,05,,
1727600251,__NA__,,,,There is proof studies have been cherry-picked. There is a massive amount of censorship. Health officials have changed their story numerous times (Fauci). They have not allowed dissenting opinions into the discussion from other doctors and scientists. Cloth and surgical masks have been proven ineffective at preventing the aerosol spread of virus size particles before covid-19. They have played down the effectiveness and even prevented the use of many other inexpensive early treatments for covid. They tried to mandate a vaccine with no legal authority to do so. They pushed the vaccine as the only solution when there are many other solutions.,10,16,,"Work force being too limited, too often.",05,,
1727610379,__NA__,,,,"It is data-driven, and they are well educated",04,02,,Economic/societal wellbeing,05,,
1727628819,__NA__,,,,Science is real.,04,,,Be appease COVID doubters,08,,
1727590729,__NA__,,,,i follow the science,04,,,testing,99,,
1727627587,__NA__,,,,I believe most scientists who try to talk anything against coronavirus or the vaccines are instantly shut up so how I can believe all the scientists when I don’t have all the information.,14,11,98,Because they are realizing this virus is not as life altering and does not require such a long isolation period for most people who don’t even have symptoms.,11,,
1727609361,__NA__,,,,It’s what they do for a living.,02,,,Economic pressure,05,,
1727607487,__NA__,,,,"1: Public health policy is informed by more than just what is best for everyday people. 2: when science and statistics are so incomplete, especially like they were early on, public health officials should be careful about how they present their analysis. 3: their view might be swayed towards thinking public health is more important than other facets of society.",98,,,1: Public pressure and perception 2: their own perception,08,,
1727645947,__NA__,,,,Always changing the directives.some of it just doesn’t make sense,13,,,Not sure,97,,
1727654531,__NA__,,,,"Because they are trained to understand such situations, and are keeping up with the most recent data",02,,,I think they were trying to balance new information about transmissibility with the demands of society and the economy for less restrictive protocols,01,05,
1727654761,__NA__,,,,They have access to all up to date information from around the world.,02,,,Have more information now than they did before. Also political pressure.,01,06,
1727654031,__NA__,,,,"I had Covid November 2020. I still suffer from Long Haul Symptoms. The continued Brain Fog is completely debilitating. I have a Long Haul Dr. and they have no idea how to help us. When my brain fog comes on I have a very hard time communicating. The difficulty I have finding words, especially names, places and things are so confounding that I feel like I have early onset Alzheimer’s!!! I’m at a loss on how to deal with it and it’s effects on my work life. The overall quality of my life has been so diminished. The next pandemic is all of the physical and mental health issues all us survivors are dealing with.",99,,,Science is constantly updated as new data is obtained.,01,,
1727215271,I only got my first shot 5 or 6 months ago and I got J and J as a one shot solution. A booster would defy that purpose.,01,,,The doctors the present the information may be swayed by the bias of the media positive or negative,10,,,Detailed research about transmission time lines,01,,
1728063379,__NA__,,,,They know the science behind the medication/recommendations and are passionate around their occupations and keeping people informed,02,,,So people can return to work expeditiously,05,,
1727103921,__NA__,,,,They are scientists and experts in public health.,02,,,For work,05,,
